Power of 2	FULL SIGN	FULL VERIFY
1	8.97216796875	8.210897445678711
2	19.73104476928711	11.84988021850586
3	39.23821449279785	17.527103424072266
4	76.64823532104492	27.318954467773438
5	150.07734298706055	45.2268123626709
6	294.45505142211914	79.15496826171875
7	597.538948059082	156.98790550231934
8	1154.7040939331055	283.6160659790039
9	2296.518087387085	558.5250854492188
10	4599.68113899231	1114.5451068878174
11	9113.247156143188	2238.831043243408
12	18193.674087524414	4517.329216003418
